Agency name;Country;Link;Players;Players 1st tier;Rumors;Total market value;ø-Market value;Street;ZIP, location;Phone;Fax;Email;Website
CAA Stellar;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=190;860;328;54;€2.00bn;€2.32m;-;-;-;-;-;https://icmstellar.com/
Wasserman;United States;https://www.transfermarkt.com/berater/beraterfirma?id=440;969;343;57;€1.79bn;€1.85m;;;;;;
Gestifute;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=413;134;73;37;€1.44bn;€10.75m;;;;;;
CAA Base Ltd;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=674;600;190;46;€1.12bn;€1.87m;-;-;-;-;-;-
Unique Sports Group;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4142;551;115;43;€1.01bn;€1.84m;-;-;-;;info@uniquesg.com;http://www.uniquesg.com
ROOF;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2295;130;85;28;€755.80m;€5.81m;Bavariafilmplatz 7;82031, Grünwald;+49 (0)89/ 820 400-30;;info@roof.football;www.roof.football
Bertolucci Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=724;70;55;4;€698.05m;€9.97m;-;São Paulo;-;-;-;-
Roc Nation Sports;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5015;109;49;6;€559.75m;€5.14m;-;-;-;-;-;https://www.rocnation.com/sports/
YOU FIRST;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=1406;390;108;14;€476.55m;€1.22m;Calle Uruguay 3 (bis);28016, Madrid;+34 917000488;;info@teamyoufirst.com;http://www.teamyoufirst.com
Elite Project Group Limited;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5620;57;20;2;€434.40m;€7.62m;-;-;-;-;-;-
Gol International;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=220;46;28;11;€400.10m;€8.70m;-;-;-;-;-;-
SEG - Sports Entertainment Group;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=586;344;122;5;€399.91m;€1.16m;MediArena 12;1114 BC, AmsterdamDuivendrecht;+31 (0) 20 589 40 00;;info@seginternational.com;http://www.seginternational.com
Sports360 GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=199;129;67;19;€399.56m;€3.10m;Johannes-Kepler-Str. 14;51377, Leverkusen;+49 214 31267297;-;info@sports-360.de;www.sports-360.de
HCM Sports Management;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=2252;100;76;10;€388.73m;€3.89m;-;-;4,47508E+11;;hcmsports@mail.com;
Rafaela Pimenta;Monaco;https://www.transfermarkt.com/berater/beraterfirma?id=282;44;26;2;€378.88m;€8.61m;-;-;-;-;-;-
GR Sports;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=3733;90;31;10;€344.33m;€3.83m;Filippo Turati, 6;20121, Milano;-;-;info@grsportsagency.com;http://www.grsportsagency.com
ROGON;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1;150;94;14;€326.28m;€2.18m;Mahlastr. 21;67227, Frankenthal;+49 (0) 6233 - 30428-0;;info@rogon.tv;http://www.rogon.tv
Team Raiola;Monaco;https://www.transfermarkt.com/berater/beraterfirma?id=11115;62;34;7;€320.98m;€5.18m;-;-;-;-;info@teamraiola.com;www.raiola.com
11WINS GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2773;40;20;17;€310.18m;€7.75m;München / Liverpool;-;-;-;contact@11wins.com;11WINS.com
Universal Twenty Two;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=2722;156;89;8;€305.08m;€1.96m;-;-;-;-;-;-
Sport Cover;France;https://www.transfermarkt.com/berater/beraterfirma?id=1881;46;27;4;€288.95m;€6.28m;-;Paris;;-;contact@sportcover.co;www.sportcover.co
ProStar;Ukraine;https://www.transfermarkt.com/berater/beraterfirma?id=3703;442;227;7;€279.17m;€632k;Velyka Vasylkvska str., 21;01004 , Kyiv;;;info@prostar.email;
Promoesport;Andorra;https://www.transfermarkt.com/berater/beraterfirma?id=1817;225;72;13;€275.31m;€1.22m;Av. Carlemany, 121, 4 A-B;AD700 , EscaldesEngordany;+37 683 03 60;-;info@promoesportagency.com;https://www.promoesportagency.com
LINK SPORTS;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=8070;92;45;5;€252.50m;€2.74m;-;-;-;-;-;-
P&P Sport Management S.A.M.;Monaco;https://www.transfermarkt.com/berater/beraterfirma?id=206;98;56;10;€244.25m;€2.49m;29, Boulevard d'Italie;98000, Monaco;+377 97 97 27 70;;sportman@sportmanagement.mc;www.sportmanagement.mc
PLG;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5488;23;9;3;€243.05m;€10.57m;-;-;-;-;-;-
LIAN Sports Group;Ireland;https://www.transfermarkt.com/berater/beraterfirma?id=13;84;50;10;€229.76m;€2.74m;-;-;-;;info@liansports.com;http://www.liansports.com
Excellence Sport Nation;France;https://www.transfermarkt.com/berater/beraterfirma?id=5024;11;7;6;€227.40m;€20.67m;-;-;-;-;-;-
DW Sports Management;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=3933;50;35;9;€208.55m;€4.17m;-;-;-;-;contact@dwsportsman.com;https://www.dwsportsman.com/
